id,agencia,CATEGORÍA CENSO 1,CANTIDAD DE SCHOPERAS CCU,CANTIDAD DE SALIDAS,CANTIDAD DE SHOPERAS COMPETENCIA ,CCU/ABINBEV/OTRAS MARCAS COMPETENCIA
680948,CORPA,IMPLEMENTADO,1,5,0,KUNTSMANNPATAGONIAAUSTRALCRISTALROYAL GUARD
2128206,PK,IMPLEMENTADO,2,4,0,AUSTRAL ( de CCU)ESCUDO ( de CCU)KUNTSMANN ( de CCU)ROYAL GUARD  ( de CCU)HEINEKEN ( de CCU)
904146,CORPA,IMPLEMENTADO,3,2,0,KUNTSMANNPATAGONIAAUSTRALCRISTALROYAL GUARD
1322626,,,,,,
819791,PK,CCU/Cuestionados,0,0,0,
2126426,CORPA,CCU/Cuestionados,2,2,0,KUNTSMANNPATAGONIAAUSTRALCRISTALROYAL GUARD
1983988,CORPA,IMPLEMENTADO,1,5,0,KUNTSMANNPATAGONIAAUSTRALCRISTALROYAL GUARD
1495432,CORPA,IMPLEMENTADO,1,5,0,KUNTSMANNPATAGONIAAUSTRALCRISTALROYAL GUARD
988342,PK,CCU/Cuestionados,1,2,0,CRISTAL ( de CCU)
895297,PK,CCU/Cuestionados,1,3,1,AUSTRAL ( de CCU)HEINEKEN ( de CCU)KUNTSMANN ( de CCU)
1651228,PK,CCU/Cuestionados,0,0,0,
1417977,CORPA,CCU/Cuestionados,1,3,0,CRISTALROYAL GUARD
594849,CORPA,CCU/Cuestionados,1,2,0,BUDWEISERSTELLA ARTOIS
1338557,CORPA,IMPLEMENTADO,1,4,0,
2130008,CORPA,IMPLEMENTADO,2,4,0,AUSTRALROYAL GUARD
2153302,CORPA,IMPLEMENTADO,3,1,0,
2157202,PK,IMPLEMENTADO,0,0,0,
573438,PK,IMPLEMENTADO,0,0,2,BUDWEISER  (de ABINBEV)STELLA ARTOIS (de ABINBEV)BUDWEISER  (de ABINBEV)STELLA ARTOIS (de ABINBEV)
703703,CORPA,CCU/Cuestionados,,,,KUNTSMANNPATAGONIAAUSTRALCRISTALROYAL GUARD
1736413,CORPA,CCU/Cuestionados,,,,KUNTSMANNPATAGONIAAUSTRALCRISTALROYAL GUARD
706781,CORPA,CCU/Cuestionados,,,,KUNTSMANNPATAGONIAAUSTRALCRISTALROYAL GUARD
1424880,CORPA,NO REPORTADO COMO IMPLEMENTADO,1,4,0,
